pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 20:13:25;0.0000090000;35.0000000000;333031;0.0000002571;sell;UseBit
16 декабря 2017 г. 20:07:21;0.0009490000;3757.5192080000;332876;0.0000002526;sell;UseBit
16 декабря 2017 г. 20:07:21;0.0009490000;3757.5192080000;332875;0.0000002526;buy;2847294d
16 декабря 2017 г. 20:07:08;0.0006310000;2499.6467330000;332858;0.0000002524;sell;UseBit
16 декабря 2017 г. 20:07:08;0.0006310000;2499.6467330000;332857;0.0000002524;buy;Figer
16 декабря 2017 г. 20:05:53;0.0000180000;70.0000000000;332805;0.0000002571;sell;UseBit
16 декабря 2017 г. 20:03:32;0.0025110000;9942.8340590000;332774;0.0000002525;buy;ruzo707
16 декабря 2017 г. 20:03:32;0.0025110000;9942.8340590000;332773;0.0000002525;sell;UseBit
16 декабря 2017 г. 19:38:53;0.0006390000;1598.5996500000;332072;0.0000003997;buy;dart
16 декабря 2017 г. 19:38:53;0.0006390000;1598.5996500000;332071;0.0000003997;sell;autodiagnost
16 декабря 2017 г. 19:32:41;0.0016000000;4000.0000000000;331892;0.0000004000;sell;2847294d
16 декабря 2017 г. 19:32:41;0.0016000000;4000.0000000000;331891;0.0000004000;buy;dart
16 декабря 2017 г. 19:26:03;0.0000710000;178.2612500000;331674;0.0000003983;sell;autodiagnost
16 декабря 2017 г. 19:16:56;0.0011320000;2600.0000000000;331452;0.0000004354;buy;saha0409
16 декабря 2017 г. 19:16:56;0.0011320000;2600.0000000000;331451;0.0000004354;sell;autodiagnost
16 декабря 2017 г. 19:11:13;0.0000740000;168.6311230000;331246;0.0000004388;sell;Ophiuchus
16 декабря 2017 г. 19:06:45;0.0000940000;213.2604240000;331040;0.0000004408;sell;Ophiuchus
16 декабря 2017 г. 19:06:45;0.0040750000;9360.0000000000;331038;0.0000004354;sell;guevara4rever
16 декабря 2017 г. 19:06:45;0.0040750000;9360.0000000000;331037;0.0000004354;buy;Bitseller
16 декабря 2017 г. 19:03:41;0.0002790000;640.0000000000;330904;0.0000004359;sell;guevara4rever
16 декабря 2017 г. 19:03:41;0.0002790000;640.0000000000;330903;0.0000004359;buy;saha0409
16 декабря 2017 г. 19:03:41;0.0003050000;700.0000000000;330902;0.0000004357;sell;Ophiuchus
16 декабря 2017 г. 19:03:41;0.0003050000;700.0000000000;330901;0.0000004357;buy;saha0409
16 декабря 2017 г. 18:49:08;0.0004350000;1000.0000000000;330196;0.0000004350;sell;Ophiuchus
16 декабря 2017 г. 18:49:08;0.0004350000;1000.0000000000;330195;0.0000004350;buy;saha0409
16 декабря 2017 г. 18:13:30;0.0002650000;610.4716950000;329160;0.0000004341;sell;alex1965
16 декабря 2017 г. 18:13:30;0.0002650000;610.4716950000;329159;0.0000004341;buy;fufufufufu
16 декабря 2017 г. 18:13:30;0.0176660000;40658.2279790000;329158;0.0000004345;sell;Ophiuchus
16 декабря 2017 г. 18:13:30;0.0176660000;40658.2279790000;329157;0.0000004345;buy;fufufufufu
16 декабря 2017 г. 18:11:32;0.0019990000;4600.6904490000;329024;0.0000004345;sell;Ophiuchus
16 декабря 2017 г. 18:11:32;0.0019990000;4600.6904490000;329023;0.0000004345;buy;ruzo707
16 декабря 2017 г. 18:08:35;0.0020600000;4741.0815720000;328800;0.0000004345;sell;Ophiuchus
16 декабря 2017 г. 18:08:35;0.0020600000;4741.0815720000;328799;0.0000004345;buy;ruzo707
16 декабря 2017 г. 18:07:22;0.0210580000;49007.2641380000;328750;0.0000004297;sell;Ophiuchus
16 декабря 2017 г. 18:07:22;0.0210580000;49007.2641380000;328749;0.0000004297;buy;fufufufufu
16 декабря 2017 г. 18:06:28;0.0004110000;1000.0000000000;328682;0.0000004110;sell;Ophiuchus
16 декабря 2017 г. 18:06:28;0.0004110000;1000.0000000000;328681;0.0000004110;buy;fufufufufu
16 декабря 2017 г. 18:03:07;0.0010000000;2500.0000000000;328566;0.0000004000;sell;Sartorius
16 декабря 2017 г. 18:03:07;0.0010000000;2500.0000000000;328565;0.0000004000;buy;fufufufufu
16 декабря 2017 г. 18:01:25;0.0036770000;9999.9344570000;328498;0.0000003677;sell;Ophiuchus
16 декабря 2017 г. 18:01:25;0.0036770000;9999.9344570000;328497;0.0000003677;buy;fufufufufu
16 декабря 2017 г. 18:00:40;0.0000880000;240.3500450000;328472;0.0000003661;sell;Yurchik
16 декабря 2017 г. 17:47:30;0.0000920000;249.9999550000;327948;0.0000003680;sell;Yurchik
16 декабря 2017 г. 17:43:59;0.0009840000;2810.4580000000;327818;0.0000003501;sell;Sartorius
16 декабря 2017 г. 17:43:59;0.0009840000;2810.4580000000;327817;0.0000003501;buy;fufufufufu
16 декабря 2017 г. 17:42:52;0.0000660000;189.5419530000;327740;0.0000003482;sell;Sartorius
16 декабря 2017 г. 17:42:51;0.0022560000;6633.9732840000;327738;0.0000003401;sell;metla13
16 декабря 2017 г. 17:42:51;0.0022560000;6633.9732840000;327737;0.0000003401;buy;fufufufufu
16 декабря 2017 г. 17:42:32;0.0003500000;1029.1176470000;327728;0.0000003401;sell;metla13
16 декабря 2017 г. 17:42:32;0.0003500000;1029.1176470000;327727;0.0000003401;buy;fufufufufu
16 декабря 2017 г. 17:41:24;0.0007500000;2204.8073530000;327694;0.0000003402;sell;metla13
16 декабря 2017 г. 17:41:24;0.0007500000;2204.8073530000;327693;0.0000003402;buy;ruzo707
16 декабря 2017 г. 17:41:24;0.0008990000;2645.1926470000;327692;0.0000003399;sell;Gost
16 декабря 2017 г. 17:41:24;0.0008990000;2645.1926470000;327691;0.0000003399;buy;ruzo707
16 декабря 2017 г. 17:41:17;0.0000100000;29.4117650000;327680;0.0000003400;sell;Gost
16 декабря 2017 г. 17:41:17;0.0003400000;1000.0000000000;327678;0.0000003400;sell;Yurchik
16 декабря 2017 г. 17:41:17;0.0003400000;1000.0000000000;327677;0.0000003400;buy;ruzo707
16 декабря 2017 г. 17:36:33;0.0000340000;100.0000000000;327404;0.0000003400;sell;Gost
16 декабря 2017 г. 17:33:50;0.0020770000;6109.0000000000;327266;0.0000003400;sell;Gost
16 декабря 2017 г. 17:33:50;0.0020770000;6109.0000000000;327265;0.0000003400;buy;wildwolfo07
16 декабря 2017 г. 17:33:42;0.0003800000;1116.3955880000;327264;0.0000003404;sell;Gost
16 декабря 2017 г. 17:33:42;0.0003800000;1116.3955880000;327263;0.0000003404;buy;Theurvaeth
16 декабря 2017 г. 17:33:42;0.0007000000;2057.8900000000;327262;0.0000003402;sell;Volodymyr69S
16 декабря 2017 г. 17:33:42;0.0007000000;2057.8900000000;327261;0.0000003402;buy;Theurvaeth
16 декабря 2017 г. 17:33:06;0.0010000000;2941.0000000000;327250;0.0000003400;sell;Volodymyr69S
16 декабря 2017 г. 17:33:06;0.0010000000;2941.0000000000;327249;0.0000003400;buy;messias
16 декабря 2017 г. 17:27:50;0.0010500000;3500.0000000000;327092;0.0000003000;sell;Sartorius
16 декабря 2017 г. 17:27:50;0.0010500000;3500.0000000000;327091;0.0000003000;buy;fufufufufu
16 декабря 2017 г. 17:26:55;0.0008960000;3106.0000000000;327054;0.0000002885;sell;2847294d
16 декабря 2017 г. 17:26:55;0.0008960000;3106.0000000000;327053;0.0000002885;buy;fufufufufu
16 декабря 2017 г. 17:19:54;0.0000100000;39.0000000000;326818;0.0000002564;sell;Yurchik
16 декабря 2017 г. 16:59:23;0.0000030000;11.9400000000;326109;0.0000002513;sell;marina1997kh
16 декабря 2017 г. 15:56:04;0.0000150000;61.0000000000;325092;0.0000002459;sell;Yurchik
16 декабря 2017 г. 21:00:29;0.0000560000;220.3000000000;334287;0.0000002542;sell;Ali84
16 декабря 2017 г. 20:57:40;0.0038670000;11380.5302660000;334190;0.0000003398;sell;Gost
16 декабря 2017 г. 20:57:40;0.0038670000;11380.5302660000;334189;0.0000003398;buy;tollik
16 декабря 2017 г. 20:56:21;0.0000180000;51.4697340000;334124;0.0000003497;sell;Gost
16 декабря 2017 г. 20:56:21;0.0000340000;100.0000000000;334122;0.0000003400;sell;Yurchik
16 декабря 2017 г. 20:56:21;0.0016600000;5000.0000000000;334120;0.0000003320;sell;2847294d
16 декабря 2017 г. 20:56:21;0.0016600000;5000.0000000000;334119;0.0000003320;buy;ruzo707
16 декабря 2017 г. 20:56:21;0.0000320000;96.9502390000;334118;0.0000003301;sell;Yurchik
16 декабря 2017 г. 22:29:26;0.0001760000;502.0000000000;336952;0.0000003506;buy;marvin42
16 декабря 2017 г. 22:29:26;0.0001760000;502.0000000000;336951;0.0000003506;sell;chegevara0522
16 декабря 2017 г. 22:23:00;0.0001310000;365.0000000000;336816;0.0000003589;sell;autodiagnost
16 декабря 2017 г. 22:23:00;0.0001310000;365.0000000000;336815;0.0000003589;buy;vaniahilkov
16 декабря 2017 г. 22:20:44;0.0000360000;112.8153990000;336750;0.0000003191;sell;vaniahilkov
16 декабря 2017 г. 22:20:37;0.0001280000;400.0000000000;336748;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:20:37;0.0001280000;400.0000000000;336747;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:20:31;0.0001280000;400.0000000000;336746;0.0000003200;sell;vaniahilkov
