pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 20:30:12;1769.9735660000;0.0936740000;333380;18895.0356128702;buy;Mayakbtc
16 декабря 2017 г. 20:30:12;1769.9735660000;0.0936740000;333379;18895.0356128702;sell;cpp1PP
16 декабря 2017 г. 20:30:12;944.8050000000;0.0500000000;333378;18896.1000000000;buy;ASMK
16 декабря 2017 г. 20:30:11;944.8050000000;0.0500000000;333377;18896.1000000000;sell;cpp1PP
16 декабря 2017 г. 20:26:02;4089.0092300000;0.2164070000;333312;18894.9952173451;sell;misteryou
16 декабря 2017 г. 20:26:02;4089.0092300000;0.2164070000;333311;18894.9952173451;buy;Mayakbtc
16 декабря 2017 г. 20:24:57;2224.3394310000;0.1177460000;333278;18890.9978343213;buy;cpp1PP
16 декабря 2017 г. 20:24:57;2224.3394310000;0.1177460000;333277;18890.9978343213;sell;Andmar
16 декабря 2017 г. 20:22:39;10016.9384530000;0.5301370000;333258;18894.9996944186;sell;misteryou
16 декабря 2017 г. 20:22:39;10016.9384530000;0.5301370000;333257;18894.9996944186;buy;rekyrsia
16 декабря 2017 г. 20:22:39;929.2053670000;0.0491770000;333256;18895.1210321898;sell;teb
16 декабря 2017 г. 20:22:39;929.2053670000;0.0491770000;333255;18895.1210321898;buy;rekyrsia
16 декабря 2017 г. 20:21:28;1612.8394100000;0.0853580000;333220;18895.0000000000;buy;rekyrsia
16 декабря 2017 г. 20:21:28;1612.8394100000;0.0853580000;333219;18895.0000000000;sell;tonka
16 декабря 2017 г. 20:20:57;377.9002000000;0.0200000000;333188;18895.0100000000;buy;anbauak
16 декабря 2017 г. 20:20:57;377.9002000000;0.0200000000;333187;18895.0100000000;sell;tonka
16 декабря 2017 г. 20:10:59;189.9999000000;0.0100000000;332978;18999.9900000000;buy;alexmonster23
16 декабря 2017 г. 20:10:59;189.9999000000;0.0100000000;332977;18999.9900000000;sell;rekyrsia
16 декабря 2017 г. 20:09:51;379.9998000000;0.0200000000;332960;18999.9900000000;sell;anbauak
16 декабря 2017 г. 20:09:51;379.9998000000;0.0200000000;332959;18999.9900000000;buy;alexmonster23
16 декабря 2017 г. 20:07:38;813.8682090000;0.0430620000;332884;18899.9166086108;buy;rekyrsia
16 декабря 2017 г. 20:07:38;813.8682090000;0.0430620000;332883;18899.9166086108;sell;hrolenko
16 декабря 2017 г. 20:07:20;189.0000000000;0.0100000000;332868;18900.0000000000;buy;sereduk74
16 декабря 2017 г. 20:07:20;189.0000000000;0.0100000000;332867;18900.0000000000;sell;hrolenko
16 декабря 2017 г. 20:06:47;491.4780000000;0.0260000000;332848;18903.0000000000;buy;cpp1PP
16 декабря 2017 г. 20:06:47;491.4780000000;0.0260000000;332847;18903.0000000000;sell;hrolenko
16 декабря 2017 г. 20:06:28;378.0602000000;0.0200000000;332824;18903.0100000000;buy;anbauak
16 декабря 2017 г. 20:06:28;378.0602000000;0.0200000000;332823;18903.0100000000;sell;hrolenko
16 декабря 2017 г. 20:05:53;5990.6430000000;0.3152970000;332808;19000.0000000000;sell;autodiagnost
16 декабря 2017 г. 20:05:53;5990.6430000000;0.3152970000;332807;19000.0000000000;buy;froooost1408
16 декабря 2017 г. 20:05:02;13189.5491270000;0.6945520000;332786;18990.0095701978;sell;rekyrsia
16 декабря 2017 г. 20:05:02;13189.5491270000;0.6945520000;332785;18990.0095701978;buy;froooost1408
16 декабря 2017 г. 20:03:30;379.7998000000;0.0200000000;332772;18989.9900000000;sell;anbauak
