pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 20:31:38;148.2163120000;0.6444470000;333404;229.9899169365;sell;Matro
16 декабря 2017 г. 20:31:38;148.2163120000;0.6444470000;333403;229.9899169365;buy;777SandR777
16 декабря 2017 г. 20:25:38;107.4462500000;0.4997500000;333296;215.0000000000;buy;yura19831603
16 декабря 2017 г. 20:25:38;107.4462500000;0.4997500000;333295;215.0000000000;sell;Vasco
16 декабря 2017 г. 19:58:02;768.8541940000;3.5578630000;332636;216.0999999157;sell;Mel044
16 декабря 2017 г. 19:58:02;768.8541940000;3.5578630000;332635;216.0999999157;buy;btc1trade
16 декабря 2017 г. 19:54:56;93.3847520000;0.4321370000;332570;216.0998757339;buy;Zhurf
16 декабря 2017 г. 19:54:56;93.3847520000;0.4321370000;332569;216.0998757339;sell;Mel044
16 декабря 2017 г. 19:54:56;138.0859960000;0.6004000000;332568;229.9900000000;sell;Matro
16 декабря 2017 г. 19:54:56;138.0859960000;0.6004000000;332567;229.9900000000;buy;setyanin
16 декабря 2017 г. 19:52:09;7.3502770000;0.0319590000;332500;229.9908320035;sell;Matro
16 декабря 2017 г. 19:52:09;7.3502770000;0.0319590000;332499;229.9908320035;buy;a1s2qzxx
16 декабря 2017 г. 19:51:34;234.8825000000;1.0212730000;332474;229.9899243395;sell;Matro
16 декабря 2017 г. 19:51:34;234.8825000000;1.0212730000;332473;229.9899243395;buy;a1s2qzxx
16 декабря 2017 г. 19:47:43;244.1507140000;1.0615710000;332336;229.9899997268;sell;Matro
16 декабря 2017 г. 19:47:43;244.1507140000;1.0615710000;332335;229.9899997268;buy;proje
16 декабря 2017 г. 19:47:32;776.3386560000;3.3756790000;332312;229.9799998756;sell;Zhurf
16 декабря 2017 г. 19:47:32;776.3386560000;3.3756790000;332311;229.9799998756;buy;proje
16 декабря 2017 г. 19:09:19;1296.6000000000;6.0000000000;331184;216.1000000000;buy;Zhurf
16 декабря 2017 г. 19:09:18;1296.6000000000;6.0000000000;331183;216.1000000000;sell;Mel044
16 декабря 2017 г. 19:00:12;14.6652480000;0.0678630000;330794;216.1007913001;buy;Zhurf
16 декабря 2017 г. 19:00:12;14.6652480000;0.0678630000;330793;216.1007913001;sell;Kyshnir08
16 декабря 2017 г. 19:00:12;16.9542460000;0.0784560000;330792;216.0987814826;buy;Zhurf
16 декабря 2017 г. 19:00:12;16.9542460000;0.0784560000;330791;216.0987814826;sell;Kyshnir08
16 декабря 2017 г. 17:30:54;8.8891140000;0.0386500000;327182;229.9900129366;sell;Matro
16 декабря 2017 г. 17:30:54;8.8891140000;0.0386500000;327181;229.9900129366;buy;grek83
16 декабря 2017 г. 17:20:55;21.5991950000;0.0999500000;326848;216.1000000000;buy;Zhurf
16 декабря 2017 г. 17:20:55;21.5991950000;0.0999500000;326847;216.1000000000;sell;domining2017
16 декабря 2017 г. 16:50:14;432.2000000000;2.0000000000;325952;216.1000000000;buy;Zhurf
16 декабря 2017 г. 16:50:14;432.2000000000;2.0000000000;325951;216.1000000000;sell;Dobrynja
16 декабря 2017 г. 16:45:30;212.3386620000;0.9825950000;325878;216.0998804187;buy;Zhurf
