pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабр€ 2017 г. 20:29:19;0.0005260000;1.8786630000;333364;0.0002799864;sell;Lexir
16 декабр€ 2017 г. 20:29:19;0.0005260000;1.8786630000;333363;0.0002799864;buy;ruzo707
16 декабр€ 2017 г. 20:28:59;0.0003510000;1.3481610000;333356;0.0002603547;sell;Lexir
16 декабр€ 2017 г. 20:28:59;0.0003510000;1.3481610000;333355;0.0002603547;buy;ruzo707
16 декабр€ 2017 г. 22:51:36;0.0005800000;2.0000000000;337536;0.0002900000;sell;Lexir
16 декабр€ 2017 г. 22:51:36;0.0005800000;2.0000000000;337535;0.0002900000;buy;kirpichking
16 декабр€ 2017 г. 22:46:15;0.0000340000;0.1213370000;337402;0.0002802113;sell;Lexir
20 декабр€ 2017 г. 19:37:51;0.0010950000;3.6489610000;426260;0.0003000854;buy;ruzo707
20 декабр€ 2017 г. 19:37:51;0.0010950000;3.6489610000;426259;0.0003000854;sell;Akala
21 декабр€ 2017 г. 23:30:38;0.0013800000;1.5333500000;456796;0.0008999902;sell;ruzo707;
21 декабр€ 2017 г. 23:30:38;0.0013800000;1.5333500000;456795;0.0008999902;buy;banane;
23 декабр€ 2017 г. 1:52:21;0.0045640000;15.2128380000;488956;0.0003000098;buy;ruzo707;
23 декабр€ 2017 г. 1:52:21;0.0045640000;15.2128380000;488955;0.0003000098;sell;jrij;
23 декабр€ 2017 г. 9:46:38;0.0111520000;14.1157590000;490676;0.0007900390;buy;Lomm14472;
23 декабр€ 2017 г. 9:46:38;0.0111520000;14.1157590000;490675;0.0007900390;sell;ruzo707;
23 декабр€ 2017 г. 9:08:12;0.0039500000;5.0000000000;490124;0.0007900000;sell;ruzo707;
23 декабр€ 2017 г. 9:08:12;0.0039500000;5.0000000000;490123;0.0007900000;buy;Lomm14472;
23 декабр€ 2017 г. 22:22:33;0.0000490000;0.1625220000;505561;0.0003014976;sell;alexaa83;
24 декабр€ 2017 г. 19:06:13;0.0022770000;9.1062010000;521802;0.0002500494;buy;ruzo707;
24 декабр€ 2017 г. 19:06:13;0.0022770000;9.1062010000;521801;0.0002500494;sell;Lomm14472;
24 декабр€ 2017 г. 19:04:27;0.0030000000;10.0000000000;521760;0.0003000000;buy;ruzo707;
24 декабр€ 2017 г. 19:04:27;0.0030000000;10.0000000000;521759;0.0003000000;sell;Lomm14472;
24 декабр€ 2017 г. 23:11:59;0.0012420000;1.7739730000;528638;0.0007001234;sell;ruzo707;
24 декабр€ 2017 г. 23:11:59;0.0012420000;1.7739730000;528637;0.0007001234;buy;k0nstant1n;
24 декабр€ 2017 г. 23:11:59;0.0000010000;0.0017400000;528636;0.0005747126;sell;sanyok523;
26 декабр€ 2017 г. 14:37:06;0.0005730000;2.1202760000;559660;0.0002702478;buy;ruzo707;
26 декабр€ 2017 г. 14:37:06;0.0005730000;2.1202760000;559659;0.0002702478;sell;kirpichking;
26 декабр€ 2017 г. 14:15:45;0.0029000000;10.0000000000;559452;0.0002900000;buy;ruzo707;
26 декабр€ 2017 г. 14:15:45;0.0029000000;10.0000000000;559451;0.0002900000;sell;Maltcman;
26 декабр€ 2017 г. 21:08:10;0.0019310000;7.1524050000;566634;0.0002699791;buy;ruzo707;
26 декабр€ 2017 г. 21:08:10;0.0019310000;7.1524050000;566633;0.0002699791;sell;Maltcman;
27 декабр€ 2017 г. 11:03:23;0.0000380000;0.0500000000;574356;0.0007600000;sell;ruzo707;
27 декабр€ 2017 г. 11:02:07;0.0002250000;0.3000000000;574340;0.0007500000;sell;ruzo707;
27 декабр€ 2017 г. 11:02:07;0.0002250000;0.3000000000;574339;0.0007500000;buy;Serg2552;
27 декабр€ 2017 г. 13:47:17;0.0000010000;0.0010000000;576870;0.0010000000;sell;ruzo707;
27 декабр€ 2017 г. 12:47:26;0.0000130000;0.0489650000;575921;0.0002654958;sell;Alekskoll;
27 декабр€ 2017 г. 15:45:32;0.0000710000;0.0951000000;578384;0.0007465825;sell;ruzo707;
28 декабр€ 2017 г. 15:50:24;0.0000540000;0.1860000000;594169;0.0002903226;sell;Serg2552;
28 декабр€ 2017 г. 19:11:15;0.0000610000;0.2089030000;596662;0.0002920015;sell;Serg2552;
29 декабр€ 2017 г. 14:21:30;0.0010000000;2.5000000000;607934;0.0004000000;sell;ruzo707;
29 декабр€ 2017 г. 14:21:30;0.0010000000;2.5000000000;607933;0.0004000000;buy;LilaAndrews;
31 декабр€ 2017 г. 15:10:08;0.0016220000;4.9900000000;631200;0.0003250501;sell;koledg;
31 декабр€ 2017 г. 15:10:08;0.0016220000;4.9900000000;631199;0.0003250501;buy;ruzo707;
31 декабр€ 2017 г. 23:01:01;0.0022500000;3.0000000000;636690;0.0007500000;sell;ruzo707;
31 декабр€ 2017 г. 23:01:01;0.0022500000;3.0000000000;636689;0.0007500000;buy;Wolf13;
2 €нвар€ 2018 г. 20:10:53;0.0000050000;0.0061460000;661056;0.0008135372;sell;ruzo707;
2 €нвар€ 2018 г. 22:54:03;0.0003000000;0.4000000000;665780;0.0007500000;sell;ruzo707;
2 €нвар€ 2018 г. 22:54:03;0.0003000000;0.4000000000;665779;0.0007500000;buy;MrD;
4 €нвар€ 2018 г. 0:36:30;0.0040500000;10.6585290000;687543;0.0003799773;sell;koledg;
4 €нвар€ 2018 г. 0:36:30;0.0040500000;10.6585290000;687542;0.0003799773;buy;ruzo707;
4 €нвар€ 2018 г. 21:46:15;0.0010240000;2.9257430000;707073;0.0003499965;sell;koledg;
4 €нвар€ 2018 г. 21:46:15;0.0010240000;2.9257430000;707072;0.0003499965;buy;Voronina88;
4 €нвар€ 2018 г. 23:33:57;0.0076360000;21.8181160000;709759;0.0003499843;sell;koledg;
4 €нвар€ 2018 г. 23:33:57;0.0076360000;21.8181160000;709758;0.0003499843;buy;atomixfamous;
