pub_date;amnt_base;amnt_trade;id;price;type;user;
16 декабря 2017 г. 20:35:23;139.7757400000;0.0107930000;333484;12950.5920504030;buy;tsigor;
16 декабря 2017 г. 20:35:23;139.7757400000;0.0107930000;333483;12950.5920504030;sell;Ivanko77;
16 декабря 2017 г. 20:29:07;39.9975400000;0.0030910000;333362;12940.0000000000;buy;Stroitel;
16 декабря 2017 г. 20:29:07;39.9975400000;0.0030910000;333361;12940.0000000000;sell;Uminer;
16 декабря 2017 г. 20:29:07;258.8002000000;0.0200000000;333360;12940.0100000000;buy;anbauak;
16 декабря 2017 г. 20:29:07;258.8002000000;0.0200000000;333359;12940.0100000000;sell;Uminer;
16 декабря 2017 г. 20:21:52;130.5749900000;0.0100440000;333224;13000.2976901633;sell;rrr333;
16 декабря 2017 г. 20:21:52;130.5749900000;0.0100440000;333223;13000.2976901633;buy;Geka21;
16 декабря 2017 г. 20:15:39;132.2488950000;0.0101000000;333090;13093.9500000000;sell;anbauak;
16 декабря 2017 г. 20:15:39;132.2488950000;0.0101000000;333089;13093.9500000000;buy;alexmonster23;
16 декабря 2017 г. 20:15:12;130.4027550000;0.0100970000;333076;12915.0000000000;buy;Stroitel;
16 декабря 2017 г. 20:15:12;130.4027550000;0.0100970000;333075;12915.0000000000;sell;otsalex;
16 декабря 2017 г. 20:11:28;50.3490000000;0.0039000000;332992;12910.0000000000;buy;Stroitel;
16 декабря 2017 г. 20:11:28;50.3490000000;0.0039000000;332991;12910.0000000000;sell;SaniaGos;
16 декабря 2017 г. 20:11:28;258.2002000000;0.0200000000;332990;12910.0100000000;buy;anbauak;
16 декабря 2017 г. 20:11:28;258.2002000000;0.0200000000;332989;12910.0100000000;sell;SaniaGos;
16 декабря 2017 г. 20:07:48;394.9694170000;0.0301850000;332888;13084.9566672188;buy;Stroitel;
16 декабря 2017 г. 20:07:48;394.9694170000;0.0301850000;332887;13084.9566672188;sell;INJHV;
16 декабря 2017 г. 20:07:26;653.9727160000;0.0499790000;332880;13084.9499989996;sell;tsigor;
16 декабря 2017 г. 20:07:26;653.9727160000;0.0499790000;332879;13084.9499989996;buy;Stroitel;
16 декабря 2017 г. 20:07:26;261.6988000000;0.0200000000;332878;13084.9400000000;sell;anbauak;
16 декабря 2017 г. 20:07:26;261.6988000000;0.0200000000;332877;13084.9400000000;buy;Stroitel;
16 декабря 2017 г. 20:03:22;2451.0000000000;0.1900000000;332768;12900.0000000000;buy;Sapfireh;
16 декабря 2017 г. 20:03:22;2451.0000000000;0.1900000000;332767;12900.0000000000;sell;natolabr;
