pub_date;amnt_base;amnt_trade;id;price;type;user;
16 декабря 2017 г. 20:16:47;30.9867720000;0.0011960000;333114;25908.6722408027;sell;lorkot;
16 декабря 2017 г. 20:16:47;30.9867720000;0.0011960000;333113;25908.6722408027;buy;deniscofe;
16 декабря 2017 г. 19:59:52;51.8000000000;0.0020000000;332712;25900.0000000000;sell;anbauak;
16 декабря 2017 г. 19:59:52;51.8000000000;0.0020000000;332711;25900.0000000000;buy;Alekc;
16 декабря 2017 г. 19:15:48;1889.2308000000;0.0732260000;331416;25800.0000000000;buy;bon007;
16 декабря 2017 г. 19:15:48;1889.2308000000;0.0732260000;331415;25800.0000000000;sell;Serhii1968;
16 декабря 2017 г. 19:15:05;3229.0083760000;0.1246770000;331382;25898.9899981552;buy;cbojiota;
16 декабря 2017 г. 19:15:05;3229.0083760000;0.1246770000;331381;25898.9899981552;sell;Serhii1968;
16 декабря 2017 г. 19:09:18;517.9998000000;0.0200000000;331182;25899.9900000000;buy;tsigor;
16 декабря 2017 г. 19:09:18;517.9998000000;0.0200000000;331181;25899.9900000000;sell;Serhii1968;
16 декабря 2017 г. 18:59:56;12461.0598000000;0.4811220000;330774;25900.0000000000;sell;Serhii1968;
16 декабря 2017 г. 18:59:56;12461.0598000000;0.4811220000;330773;25900.0000000000;buy;Ivanpol;
16 декабря 2017 г. 18:41:46;168.3500000000;0.0065000000;329748;25900.0000000000;buy;tarvinik;
16 декабря 2017 г. 18:41:46;168.3500000000;0.0065000000;329747;25900.0000000000;sell;Serhii1968;
16 декабря 2017 г. 18:38:08;51.8000200000;0.0020000000;329468;25900.0100000000;buy;anbauak;
16 декабря 2017 г. 18:38:08;51.8000200000;0.0020000000;329467;25900.0100000000;sell;lorkot;
16 декабря 2017 г. 18:38:08;103.6000400000;0.0040000000;329466;25900.0100000000;buy;viktor001;
16 декабря 2017 г. 18:38:08;103.6000400000;0.0040000000;329465;25900.0100000000;sell;lorkot;
16 декабря 2017 г. 17:17:00;368.4776950000;0.0139070000;326742;26495.8434601280;sell;Menyala;
16 декабря 2017 г. 17:16:59;368.4776950000;0.0139070000;326741;26495.8434601280;buy;Dookie;
16 декабря 2017 г. 17:16:59;128.1211800000;0.0048450000;326740;26444.0000000000;sell;ANasalskiy;
16 декабря 2017 г. 17:16:59;128.1211800000;0.0048450000;326739;26444.0000000000;buy;Dookie;
16 декабря 2017 г. 17:16:59;106.3879300000;0.0040300000;326738;26398.9900744417;sell;viktor001;
16 декабря 2017 г. 17:16:59;106.3879300000;0.0040300000;326737;26398.9900744417;buy;Dookie;
16 декабря 2017 г. 17:16:59;1200.0332350000;0.0461730000;326736;25989.9342689451;sell;llkll;
16 декабря 2017 г. 17:16:59;1200.0332350000;0.0461730000;326735;25989.9342689451;buy;Dookie;
16 декабря 2017 г. 17:16:59;51.9799600000;0.0020000000;326734;25989.9800000000;sell;anbauak;
16 декабря 2017 г. 17:16:59;51.9799600000;0.0020000000;326733;25989.9800000000;buy;Dookie;
16 декабря 2017 г. 17:08:50;517.4618200000;0.0199800000;326378;25898.9899899900;buy;cbojiota;
16 декабря 2017 г. 17:08:50;517.4618200000;0.0199800000;326377;25898.9899899900;sell;Ivanna1000;
16 декабря 2017 г. 17:08:10;517.9998000000;0.0200000000;326362;25899.9900000000;buy;tsigor;
16 декабря 2017 г. 17:08:10;517.9998000000;0.0200000000;326361;25899.9900000000;sell;Ivanna1000;
16 декабря 2017 г. 17:00:05;103.9599600000;0.0040000000;326122;25989.9900000000;buy;viktor001;
16 декабря 2017 г. 17:00:05;103.9599600000;0.0040000000;326121;25989.9900000000;sell;llkll;
16 декабря 2017 г. 16:47:40;143.4311220000;0.0055270000;325906;25950.9900488511;buy;SergBadBoy;
16 декабря 2017 г. 16:47:40;143.4311220000;0.0055270000;325905;25950.9900488511;sell;maverick;
16 декабря 2017 г. 16:47:17;51.9020000000;0.0020000000;325898;25951.0000000000;buy;anbauak;
16 декабря 2017 г. 16:47:17;51.9020000000;0.0020000000;325897;25951.0000000000;sell;maverick;
16 декабря 2017 г. 16:23:11;18.3396130000;0.0006960000;325500;26350.0186781609;buy;KKV;
16 декабря 2017 г. 16:23:11;18.3396130000;0.0006960000;325499;26350.0186781609;sell;semknopa;
16 декабря 2017 г. 16:21:43;187.0851130000;0.0070870000;325466;26398.3509242275;buy;Maltcman;
