pub_date;amnt_base;amnt_trade;id;price;type;user;
16 הוךאבנÿ 2017 ד. 19:10:31;82.0042510000;0.1643800000;331220;498.8700024334;sell;Matro;
16 הוךאבנÿ 2017 ד. 19:10:31;82.0042510000;0.1643800000;331219;498.8700024334;buy;talambus8;
16 הוךאבנÿ 2017 ד. 17:55:42;493.7743710000;1.0664670000;328272;463.0001406513;buy;Lisiyjeka;
16 הוךאבנÿ 2017 ד. 17:55:42;493.7743710000;1.0664670000;328271;463.0001406513;sell;yevgen11;
16 הוךאבנÿ 2017 ד. 17:34:46;371.4088000000;0.8004500000;327298;464.0000000000;buy;Lexir;
16 הוךאבנÿ 2017 ד. 17:34:46;371.4088000000;0.8004500000;327297;464.0000000000;sell;yevgen11;
16 הוךאבנÿ 2017 ד. 17:29:31;9.9776000000;0.0200000000;327138;498.8800000000;sell;yanochka;
16 הוךאבנÿ 2017 ד. 17:29:31;9.9776000000;0.0200000000;327137;498.8800000000;buy;grek83;
16 הוךאבנÿ 2017 ד. 17:22:27;92.5912000000;0.1995500000;326910;464.0000000000;buy;Lexir;
16 הוךאבנÿ 2017 ד. 17:22:27;92.5912000000;0.1995500000;326909;464.0000000000;sell;Follen;
16 הוךאבנÿ 2017 ד. 17:16:03;324.8700000000;0.7000000000;326690;464.1000000000;buy;Matro;
16 הוךאבנÿ 2017 ד. 17:16:03;324.8700000000;0.7000000000;326689;464.1000000000;sell;Follen;
16 הוךאבנÿ 2017 ד. 17:13:35;464.1000000000;1.0000000000;326580;464.1000000000;buy;Matro;
16 הוךאבנÿ 2017 ד. 17:13:35;464.1000000000;1.0000000000;326579;464.1000000000;sell;yevgen11;
16 הוךאבנÿ 2017 ד. 16:52:40;464.0000000000;1.0000000000;325980;464.0000000000;buy;Lexir;
16 הוךאבנÿ 2017 ד. 16:52:40;464.0000000000;1.0000000000;325979;464.0000000000;sell;yevgen11;
16 הוךאבנÿ 2017 ד. 16:16:49;449.1000000000;0.9000000000;325402;499.0000000000;sell;Lexir;
16 הוךאבנÿ 2017 ד. 16:16:49;449.1000000000;0.9000000000;325401;499.0000000000;buy;Follen;
