pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 20:30:30;141.5467710000;1.7917310000;333384;79.0000122786;sell;kardan3836
16 декабря 2017 г. 20:30:30;141.5467710000;1.7917310000;333383;79.0000122786;buy;miks25
16 декабря 2017 г. 20:25:56;101.3317360000;1.2510090000;333310;81.0000055955;sell;vasli77
16 декабря 2017 г. 20:25:56;101.3317360000;1.2510090000;333309;81.0000055955;buy;BMW5511
16 декабря 2017 г. 20:25:56;20.1682640000;0.2489910000;333308;80.9999718865;sell;melig
16 декабря 2017 г. 20:25:56;20.1682640000;0.2489910000;333307;80.9999718865;buy;BMW5511
16 декабря 2017 г. 20:25:53;222.8317360000;2.7510090000;333306;81.0000025445;sell;melig
16 декабря 2017 г. 20:25:53;222.8317360000;2.7510090000;333305;81.0000025445;buy;miks25
16 декабря 2017 г. 20:25:53;1053.0000000000;13.0000000000;333304;81.0000000000;sell;sereduk74
16 декабря 2017 г. 20:25:53;1053.0000000000;13.0000000000;333303;81.0000000000;buy;miks25
16 декабря 2017 г. 20:25:53;20.1682640000;0.2490520000;333302;80.9801326631;sell;natashich
16 декабря 2017 г. 20:25:53;20.1682640000;0.2490520000;333301;80.9801326631;buy;miks25
16 декабря 2017 г. 20:15:58;949.0264800000;11.8628310000;333098;80.0000000000;buy;keaelectronicks
16 декабря 2017 г. 20:15:58;949.0264800000;11.8628310000;333097;80.0000000000;sell;Limmer
16 декабря 2017 г. 20:11:53;7.4818160000;0.0935230000;333006;79.9997433786;sell;vitvale
16 декабря 2017 г. 20:11:53;7.4818160000;0.0935230000;333005;79.9997433786;buy;keaelectronicks
16 декабря 2017 г. 20:01:59;16.5061840000;0.2063270000;332746;80.0001163202;buy;Mayakbtc
16 декабря 2017 г. 20:01:59;16.5061840000;0.2063270000;332745;80.0001163202;sell;vitvale
16 декабря 2017 г. 19:49:51;162.0000000000;2.0000000000;332400;81.0000000000;sell;sereduk74
16 декабря 2017 г. 19:49:51;162.0000000000;2.0000000000;332399;81.0000000000;buy;hikmet3
