pub_date;amnt_base;amnt_trade;id;price;type;user;
16 декабря 2017 г. 20:12:08;617.4000000000;0.0012000000;333012;514500.0000000000;sell;MaybeFun;
16 декабря 2017 г. 20:12:08;617.4000000000;0.0012000000;333011;514500.0000000000;buy;ruzo707;
16 декабря 2017 г. 20:11:26;617.4000000000;0.0012000000;332984;514500.0000000000;sell;MaybeFun;
16 декабря 2017 г. 20:11:26;617.4000000000;0.0012000000;332983;514500.0000000000;buy;focs76;
16 декабря 2017 г. 20:11:16;2533.8681000000;0.0049250000;332980;514490.9847715736;sell;MaybeFun;
16 декабря 2017 г. 20:11:16;2533.8681000000;0.0049250000;332979;514490.9847715736;buy;ziumin;
16 декабря 2017 г. 20:10:47;13850.8494230000;0.0269630000;332976;513698.3801134889;sell;Quar;
16 декабря 2017 г. 20:10:47;13850.8494230000;0.0269630000;332975;513698.3801134889;buy;gastor;
16 декабря 2017 г. 20:10:09;17982.7498150000;0.0350060000;332964;513704.7881791693;buy;esperto;
16 декабря 2017 г. 20:10:09;17982.7498150000;0.0350060000;332963;513704.7881791693;sell;Quar;
16 декабря 2017 г. 20:10:09;787.9199640000;0.0015310000;332962;514644.0000000000;buy;matroskin77;
16 декабря 2017 г. 20:10:09;787.9199640000;0.0015310000;332961;514644.0000000000;sell;Quar;
16 декабря 2017 г. 20:09:29;3114.4679140000;0.0060510000;332942;514703.0100809783;sell;Sezhov56;
16 декабря 2017 г. 20:09:29;3114.4679140000;0.0060510000;332941;514703.0100809783;buy;Trader2606;
16 декабря 2017 г. 20:09:12;9779.8718930000;0.0190010000;332936;514703.0099994737;sell;Sezhov56;
16 декабря 2017 г. 20:09:12;9779.8718930000;0.0190010000;332935;514703.0099994737;buy;lvv75;
16 декабря 2017 г. 20:09:10;514.7030100000;0.0010000000;332934;514703.0100000000;sell;Sezhov56;
16 декабря 2017 г. 20:09:10;514.7030100000;0.0010000000;332933;514703.0100000000;buy;VIKA1962;
16 декабря 2017 г. 20:07:48;524.9940000000;0.0010200000;332890;514700.0000000000;sell;artemev;
16 декабря 2017 г. 20:07:48;524.9940000000;0.0010200000;332889;514700.0000000000;buy;Zolotoy;
16 декабря 2017 г. 20:07:15;1198.2216000000;0.0023280000;332864;514700.0000000000;sell;artemev;
16 декабря 2017 г. 20:07:15;1198.2216000000;0.0023280000;332863;514700.0000000000;buy;volchonok573;
16 декабря 2017 г. 20:07:14;2812.8355000000;0.0054650000;332862;514700.0000000000;sell;artemev;
